id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-blasfemia,blasfemia,,B,empieza,teocratico,glosario-biblico,1,"Habla irrespetuosa o insultante contra Dios o contra cosas sagradas.","Expresión difamatoria que puede injuriar tanto a seres humanos como al Creador.","Bajo la Ley mosaica, cierta forma de esta ofensa se castigaba con la muerte.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/blasfemia/
teocratico-bondad-inmerecida,bondad inmerecida,gracia,B,empieza,teocratico,glosario-biblico,1,"Favor generoso de Dios que quien lo recibe no ha ganado ni merece.","Traducción de un término griego que destaca una dádiva concedida con benevolencia.","Esta cualidad divina hace posible la salvación mediante Cristo sin convertirla en salario por obras.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/bondad-inmerecida/
teocratico-botin,botín,despojo,B,empieza,teocratico,glosario-biblico,1,"Bienes tomados al enemigo después de una victoria militar.","Personas, animales u objetos valiosos capturados durante una guerra.","La Ley establecía cómo repartir entre combatientes y comunidad lo obtenido en campaña.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/botin/
teocratico-braza,braza,,B,empieza,teocratico,glosario-biblico,1,"Antigua medida de profundidad equivalente aproximadamente a 1,8 metros.","Unidad calculada por la distancia entre las puntas de los dedos con ambos brazos extendidos.","Los marineros de Hechos la emplearon al sondear el agua cerca de Malta.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/braza/
teocratico-buenas-noticias,buenas noticias,evangelio,B,empieza,teocratico,glosario-biblico,1,"Mensaje sobre el Reino de Dios y la salvación mediante Jesucristo.","Anuncio gozoso que los discípulos debían predicar por toda la Tierra.","La expresión griega euaggélion designa el mensaje favorable centrado en el propósito divino.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/buenas-noticias/
teocratico-camino,camino,,C,empieza,teocratico,glosario-biblico,1,"Nombre con que se conocía al modo de vida de los primeros cristianos.","En sentido figurado, conducta o trayectoria aprobada por Dios.","Antes de que se generalizara la designación cristiana, Hechos usa este término para la nueva forma de adoración.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/camino/
teocratico-canaan,Canaán,,C,empieza,teocratico,glosario-biblico,1,"Tierra que Dios prometió darles a Abrahán y a sus descendientes.","Región situada principalmente al oeste del Jordán y conquistada por Israel.","Recibió su nombre de un nieto de Noé y estuvo habitada por varios pueblos emparentados.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/canaan/
teocratico-cena-del-senor,Cena del Señor,Conmemoración,C,empieza,teocratico,glosario-biblico,1,"Celebración anual que recuerda la muerte de Jesucristo.","Acto instituido por Jesús con pan sin levadura y vino como símbolos.","Tuvo su origen la última noche del 14 de nisán que Cristo pasó con sus apóstoles fieles.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/cena-del-senor/
teocratico-circuncision,circuncisión,,C,empieza,teocratico,glosario-biblico,1,"Extirpación del prepucio, exigida a los varones israelitas como señal del pacto.","Procedimiento practicado normalmente al octavo día de vida entre los descendientes de Abrahán.","Para los cristianos, la condición espiritual del corazón reemplazó su obligatoriedad física.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/circuncision/
teocratico-congregacion,congregación,asamblea,C,empieza,teocratico,glosario-biblico,1,"Grupo organizado de cristianos que se reúne para adorar a Dios.","Conjunto convocado con un propósito, sea toda la nación de Israel o una comunidad local.","El término griego ekklēsía se refiere a personas reunidas, no al edificio donde lo hacen.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/congregacion/
teocratico-cristiano,cristiano,,C,empieza,teocratico,glosario-biblico,1,"Seguidor de Jesucristo.","Nombre que por dirección divina recibieron por primera vez los discípulos en Antioquía.","Esta designación aparece solo tres veces en las Escrituras Griegas.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/cristiano/
teocratico-cristo,Cristo,Mesías,C,empieza,teocratico,glosario-biblico,1,"Título de Jesús que significa ‘Ungido’.","Equivalente griego de una palabra hebrea aplicada al escogido por Dios.","No es un apellido, sino una designación vinculada con la comisión real y sacerdotal del Hijo.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/cristo/
teocratico-cubierta-propiciatoria,cubierta propiciatoria,tapa de la reconciliación,C,empieza,teocratico,glosario-biblico,1,"Tapa de oro del cofre sagrado, sobre la que había dos querubines.","Pieza del Santísimo ante la cual el sumo sacerdote salpicaba sangre una vez al año.","Desde encima de este objeto situado entre figuras aladas, Jehová se comunicaba con Moisés.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/cubierta-propiciatoria/
teocratico-demonio,demonio,espíritu maligno,D,empieza,teocratico,glosario-biblico,1,"Ángel malvado que se rebeló contra Dios y apoya a Satanás.","Criatura espiritual impura capaz de influir y, en tiempos bíblicos, poseer a personas.","Los seres designados por el griego dáimōn no son las almas de los muertos.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/demonio/
teocratico-denario,denario,,D,empieza,teocratico,glosario-biblico,1,"Moneda romana de plata que normalmente equivalía al salario de un día.","Pieza de dinero que llevaba la imagen y la inscripción del césar.","En una parábola de Jesús, el dueño de una viña pagó una de estas a cada trabajador.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/denario/
teocratico-desierto,desierto,región desértica,D,empieza,teocratico,glosario-biblico,1,"Región poco poblada, árida o silvestre.","Zona no cultivada que podía servir de pastizal aunque no fuera totalmente estéril.","La palabra bíblica puede describir la estepa de Judá y otros lugares apartados.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/desierto/
teocratico-destierro,destierro,exilio,D,empieza,teocratico,glosario-biblico,1,"Expulsión de una persona o pueblo de su tierra natal.","Situación de los judíos llevados por la fuerza a Babilonia.","Este periodo profético terminó cuando el conquistador persa permitió el regreso a Jerusalén.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/destierro/
teocratico-dia-de-expiacion,Día de Expiación,Yom Kipur,D,empieza,teocratico,glosario-biblico,1,"Jornada anual en que el sumo sacerdote ofrecía sacrificios por los pecados de Israel.","Día solemne de ayuno celebrado el 10 de tisri.","Era la única fecha en que el máximo representante sacerdotal entraba en el Santísimo.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/dia-de-expiacion/
teocratico-diablo,Diablo,Satanás,D,empieza,teocratico,glosario-biblico,1,"Título del principal enemigo de Dios que significa ‘calumniador’.","Adversario divino y acusador de los siervos fieles.","Esta designación griega describe al ser espiritual que convirtió la mentira en instrumento de rebelión.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/diablo/
teocratico-diezmo,diezmo,décima parte,D,empieza,teocratico,glosario-biblico,1,"Proporción del diez por ciento que los israelitas entregaban para apoyar la adoración.","Contribución establecida por la Ley para mantener a los levitas y ciertas celebraciones.","Abrahán dio esta fracción a Melquisedec mucho antes del pacto mosaico.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/diezmo/
teocratico-discipulo,discípulo,seguidor,D,empieza,teocratico,glosario-biblico,1,"Persona que aprende de un maestro y sigue sus enseñanzas.","Designación habitual de quienes aceptaron la instrucción de Jesús.","El término implica más que ser alumno: supone adherirse a la doctrina y conducta del instructor.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/discipulo/
teocratico-echar-suertes,echar suertes,sortear,E,empieza,teocratico,glosario-biblico,1,"Usar piedras u objetos pequeños para tomar una decisión o asignar algo.","Método antiguo para resolver una cuestión dejando el resultado fuera de la elección personal.","Los soldados recurrieron a esta práctica para repartirse la ropa de Jesús.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/echar-suertes/
teocratico-edom,Edom,,E,empieza,teocratico,glosario-biblico,1,"Nación descendiente de Esaú y territorio situado al sur del mar Muerto.","Nombre que significa ‘rojo’ y también se aplicó al hermano de Jacob.","Su región montañosa incluía Seír, y sus habitantes mantuvieron frecuentes conflictos con Israel.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/edom/
teocratico-efod,efod,,E,empieza,teocratico,glosario-biblico,1,"Prenda parecida a un delantal que formaba parte de la vestimenta del sumo sacerdote.","Vestidura sagrada con hombreras y un cinturón, hecha con hilos de varios colores.","Sobre sus piezas de ónice estaban grabados los nombres de las doce tribus.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/efod/
teocratico-escriba,escriba,copista,E,empieza,teocratico,glosario-biblico,1,"Persona experta en copiar e interpretar las Escrituras.","Profesional instruido en la Ley que podía actuar como maestro o funcionario.","Esdras fue un ejemplo destacado de este oficio, que en tiempos de Jesús se asoció a menudo con los fariseos.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/escriba/
teocratico-escrituras,Escrituras,Sagradas Escrituras,E,empieza,teocratico,glosario-biblico,1,"Conjunto de escritos inspirados que forman la Biblia.","Textos reconocidos como autoridad divina y citados por Jesús y sus discípulos.","El vocablo griego graphḗ puede referirse a un pasaje particular o al cuerpo de textos sagrados.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/escritura/
teocratico-espiritismo,espiritismo,ocultismo,E,empieza,teocratico,glosario-biblico,1,"Práctica de intentar comunicarse con espíritus mediante poderes ocultos.","Actividad condenada por Dios que suele afirmar que los muertos pueden hablar con los vivos.","El término griego relacionado, pharmakía, se vinculaba también con drogas usadas en ritos mágicos.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/espiritismo/
teocratico-espiritu-santo,espíritu santo,fuerza activa de Dios,E,empieza,teocratico,glosario-biblico,1,"Fuerza activa invisible que Dios usa para realizar su voluntad.","Poder divino que inspiró las Escrituras y capacitó a los siervos fieles.","En los idiomas bíblicos, las palabras traducidas ‘espíritu’ transmiten la idea de aire en movimiento.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/espiritu-santo/
teocratico-expiacion,expiación,reconciliación,E,empieza,teocratico,glosario-biblico,1,"Medio para cubrir los pecados y restablecer una buena relación con Dios.","Acción que satisface la justicia mediante un sacrificio sustitutivo.","En la Ley, la sangre de animales tenía esta función simbólica; el sacrificio de Cristo la cumple plenamente.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/expiacion/
teocratico-faraon,faraón,,F,empieza,teocratico,glosario-biblico,1,"Título que recibían los reyes del antiguo Egipto.","Designación de varios gobernantes que trataron con Abrahán, José o Moisés.","La Biblia da el nombre personal de cinco soberanos que llevaron este cargo, entre ellos Sisac y Nekó.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/faraon/
teocratico-fariseos,fariseos,fariseo,F,empieza,teocratico,glosario-biblico,1,"Secta judía del siglo primero conocida por sus tradiciones y estricta interpretación de la Ley.","Grupo religioso que creía en la resurrección y cuya conducta hipócrita denunció Jesús.","A diferencia de los saduceos, aceptaba la tradición oral y la existencia de criaturas espirituales.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/fariseos/
teocratico-fenicia,Fenicia,,F,empieza,teocratico,glosario-biblico,1,"Antigua región costera donde estaban Tiro y Sidón.","Territorio mediterráneo al norte de Israel, famoso por sus comerciantes y navegantes.","Sus habitantes cananeos destacaron en la producción de tinte púrpura y en la actividad marítima.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/fenicia/
teocratico-fiesta-de-las-cabanas,Fiesta de las Cabañas,Fiesta de los Tabernáculos,F,empieza,teocratico,glosario-biblico,1,"Celebración israelita de siete días en la que las familias vivían en refugios temporales.","Festividad de la cosecha celebrada en el mes de tisri después de reunir los productos del campo.","Recordaba que el pueblo habitó en alojamientos provisionales tras salir de Egipto.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/fiesta-de-las-cabanas/
teocratico-fiesta-panes-sin-levadura,Fiesta de los Panes Sin Levadura,,F,empieza,teocratico,glosario-biblico,1,"Celebración de siete días en la que los israelitas solo comían pan sin fermentar.","Primera de las tres grandes festividades anuales, iniciada el 15 de nisán.","Conmemoraba la salida apresurada de Egipto y comenzaba al día siguiente de la Pascua.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/fiesta-panes-sin-levadura/
teocratico-filacteria,filacteria,,F,empieza,teocratico,glosario-biblico,1,"Pequeña cajita con textos bíblicos que algunos judíos llevaban en la frente o el brazo.","Objeto de cuero usado como amuleto religioso e interpretado como cumplimiento literal de la Ley.","Jesús criticó a quienes ensanchaban estos estuches para exhibir su devoción.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/filacteria/
teocratico-filisteos,filisteos,filisteo,F,empieza,teocratico,glosario-biblico,1,"Pueblo enemigo de Israel al que pertenecía Goliat.","Habitantes de una franja costera con cinco ciudades principales, entre ellas Gaza y Asdod.","Su territorio dio origen al nombre posterior de Palestina, y Sansón combatió repetidamente contra ellos.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/filistea-filisteos/
teocratico-fornicacion,fornicación,inmoralidad sexual,F,empieza,teocratico,glosario-biblico,1,"Relaciones sexuales que la Biblia considera ilícitas.","Conducta sexual prohibida que abarca diversos actos fuera del matrimonio válido.","Traduce el griego pornéia, término amplio relacionado con usos inmorales de los órganos sexuales.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/fornicacion/
teocratico-galaad,Galaad,,G,empieza,teocratico,glosario-biblico,1,"Región montañosa al este del río Jordán, famosa por su bálsamo.","Nombre aplicado a un territorio fértil y también a varias personas bíblicas.","La zona se extendía a ambos lados del Jaboc y fue ocupada principalmente por Gad y Manasés.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/galaad/
teocratico-galacia,Galacia,,G,empieza,teocratico,glosario-biblico,1,"Provincia romana de Asia Menor a cuyas congregaciones escribió Pablo.","Región visitada por el apóstol de las naciones durante sus viajes misionales.","Su nombre podía designar tanto un área étnica del centro de Anatolia como una provincia más extensa.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/galacia/
teocratico-gehena,Gehena,,G,empieza,teocratico,glosario-biblico,1,"Símbolo de destrucción eterna, no de tormento consciente.","Nombre griego del valle de Hinón, situado fuera de Jerusalén.","Jesús usó este lugar como imagen de una condena de la que no hay resurrección.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/gehena/
teocratico-gentil,gentil,no judío,G,empieza,teocratico,glosario-biblico,1,"Persona que no pertenece al pueblo judío.","Miembro de una nación distinta de Israel.","En las Escrituras Griegas, este sentido traduce éthnos cuando distingue a las naciones del pueblo del pacto.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/gentil/
teocratico-gran-tribulacion,gran tribulación,,G,empieza,teocratico,glosario-biblico,1,"Periodo de angustia mundial sin precedentes que culminará con la destrucción del mal.","Crisis futura mencionada por Jesús y relacionada con el fin del sistema.","Su fase final incluye el ataque divino contra los elementos políticos que se oponen al Reino.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/gran-tribulacion/
teocratico-granada,granada,,G,empieza,teocratico,glosario-biblico,1,"Fruto rojizo cuya forma decoraba la ropa del sumo sacerdote y el templo.","Producto de la Tierra Prometida lleno de semillas y coronado por un cáliz.","Figuras de este fruto alternaban con campanillas en el borde de una prenda sacerdotal.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/granada/
teocratico-griego,griego,,G,empieza,teocratico,glosario-biblico,1,"Idioma en que se escribieron originalmente las Escrituras Cristianas.","Lengua común extendida por el mundo mediterráneo después de las conquistas de Alejandro.","La modalidad koiné permitió que el mensaje cristiano circulara ampliamente en el siglo primero.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/griego/
teocratico-guardia-pretoriana,guardia pretoriana,pretorianos,G,empieza,teocratico,glosario-biblico,1,"Cuerpo de soldados romanos encargado de proteger al emperador.","Unidad militar de élite que llegó a conocer el encarcelamiento de Pablo.","Su nombre procede del cuartel o residencia del gobernador y aparece en Filipenses.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/guardia-pretoriana/
teocratico-hades,Hades,,H,empieza,teocratico,glosario-biblico,1,"Término griego para la sepultura común de la humanidad.","Lugar simbólico al que van los muertos y del que puede haber resurrección.","Equivale al hebreo Seol y no designa un sitio de tormento con fuego.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/hades/
teocratico-hebreo,hebreo,,H,empieza,teocratico,glosario-biblico,1,"Idioma en que se escribió la mayor parte del Antiguo Testamento.","Lengua semítica de los israelitas, leída de derecha a izquierda.","Su alfabeto consonántico se usó para redactar casi todas las Escrituras anteriores a Cristo.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/hebreo/
teocratico-hechiceria,hechicería,brujería,H,empieza,teocratico,glosario-biblico,1,"Uso de poderes mágicos o espiritistas condenado por Dios.","Práctica oculta que pretende influir en personas o sucesos mediante fuerzas sobrenaturales.","En las Escrituras se asocia con adivinación, encantamientos y comunicación demoníaca.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/hechiceria/
teocratico-heraldo,heraldo,pregonero,H,empieza,teocratico,glosario-biblico,1,"Mensajero que proclamaba públicamente anuncios oficiales.","Funcionario encargado de llamar la atención de una multitud y comunicar órdenes.","Daniel menciona a uno que anunció en voz alta el mandato de adorar la imagen de Nabucodonosor.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/heraldo/
teocratico-hermes,Hermes,,H,empieza,teocratico,glosario-biblico,1,"Dios griego de la elocuencia con quien confundieron a Pablo en Listra.","Divinidad mitológica considerada mensajera de los dioses.","La multitud asignó este nombre al apóstol porque él llevaba la palabra en aquella ocasión.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/hermes/
teocratico-herodes,Herodes,,H,empieza,teocratico,glosario-biblico,1,"Nombre dinástico de varios gobernantes relacionados con los relatos de Jesús y los apóstoles.","Título familiar llevado por el rey que intentó matar al niño Jesús y por algunos descendientes suyos.","Distintos miembros de esta casa gobernaron Palestina bajo la autoridad de Roma.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/herodes/
teocratico-hijo-de-david,Hijo de David,,H,empieza,teocratico,glosario-biblico,1,"Título mesiánico aplicado a Jesús por ser heredero del rey de Israel.","Expresión con la que varias personas reconocieron el linaje y autoridad prometidos al Cristo.","Se relaciona con el pacto que garantizaba un gobernante permanente de la descendencia del segundo rey israelita.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/hijo-de-david/
teocratico-hisopo,hisopo,,H,empieza,teocratico,glosario-biblico,1,"Planta usada para rociar sangre o agua en ceremonias de purificación.","Vegetal de tallos y hojas que servía como pequeño manojo ritual.","Se empleó en la primera Pascua y también aparece en la escena de la muerte de Jesús.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/hisopo/
