id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-sostenible-sinai,Sinaí,,S,empieza,teocratico,relato-biblico-infantil,1,Montaña donde Moisés recibió leyes para el pueblo de Israel.,Montaña donde Israel recibió la Ley mediante Moisés.,"Humo, truenos y relámpagos acompañaron la presencia divina.","También llamada Horeb, se alzaba en el desierto del mismo nombre.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/exodo/19/
teocratico-sostenible-sodoma,Sodoma,,S,empieza,teocratico,relato-biblico-infantil,1,Ciudad destruida después de que Lot y su familia salieran.,Ciudad malvada de la que Lot escapó con su familia.,Jehová la destruyó con azufre y fuego.,Abrahán intercedió por sus habitantes antes del juicio.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/19/
teocratico-sostenible-soldado,soldado,,S,empieza,teocratico,relato-biblico-infantil,1,Hombre preparado para servir y luchar en un ejército.,Miembro de un ejército preparado para combatir.,Pablo comparó al cristiano fiel con quien soporta dificultades en campaña.,No se enreda en negocios civiles si desea agradar a quien lo alistó.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/2-timoteo/2/
teocratico-sostenible-sabiduria,sabiduría,,S,empieza,teocratico,relato-biblico-infantil,1,Capacidad de usar bien lo aprendido para tomar decisiones.,Capacidad de aplicar bien el conocimiento.,Salomón la pidió para juzgar al pueblo con justicia.,Su primera demostración resolvió la disputa de dos madres por un bebé.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-reyes/3/
teocratico-sostenible-salvacion,salvación,,S,empieza,teocratico,relato-biblico-infantil,1,Liberación del peligro que Jehová puede dar a sus siervos.,Liberación del pecado y la muerte que Dios hace posible.,Solo se obtiene mediante el nombre de Jesucristo.,Pedro declaró ante el Sanedrín que no existe otro nombre salvador.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/4/
teocratico-sostenible-sembrador,sembrador,,S,empieza,teocratico,relato-biblico-infantil,1,Persona que esparce semillas en la tierra para cultivarlas.,Trabajador que esparce semillas sobre la tierra.,Jesús lo usó en una comparación sobre distintos tipos de corazón.,"Parte de su semilla cayó junto al camino, entre espinos y en buena tierra.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/13/
teocratico-sostenible-siervo,siervo,,S,empieza,teocratico,relato-biblico-infantil,1,Persona que trabaja obedientemente para un amo.,Persona que sirve y obedece a un amo.,Jesús habló de uno fiel y prudente que daba alimento a tiempo.,Su amo lo premió por cuidar responsablemente a los demás domésticos.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/24/
teocratico-sostenible-sinagoga,sinagoga,,S,empieza,teocratico,relato-biblico-infantil,1,Lugar donde los judíos se reunían para leer las Escrituras.,"Lugar judío de reunión, lectura y enseñanza de las Escrituras.",Jesús leyó allí un rollo de Isaías en Nazaret.,Los asistentes se levantaban para leer y se sentaban para explicar.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/4/
teocratico-sostenible-sion,Sion,,S,empieza,teocratico,relato-biblico-infantil,1,Nombre bíblico relacionado con Jerusalén y el gobierno de Dios.,Monte de Jerusalén asociado con el rey elegido por Jehová.,David conquistó su fortaleza y la convirtió en su ciudad.,El Salmo 2 presenta allí al rey ungido por Dios.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/salmos/2/
teocratico-sostenible-serafin,serafín,,S,empieza,teocratico,relato-biblico-infantil|sostenible,1,Ángel que Isaías vio junto al trono de Jehová.,Criatura celestial con seis alas que proclamaba la santidad de Dios.,"En la visión del templo, uno llevó una brasa para purificar los labios del profeta.",Su nombre hebreo alude a seres ardientes situados por encima del trono divino.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/isaias/6/#v2
teocratico-sostenible-tadeo,Tadeo,,T,empieza,teocratico,relato-biblico-infantil,1,"Otro nombre de Judas hijo de Santiago, apóstol de Jesús.",Apóstol de Jesús también conocido como Judas hijo de Santiago.,Aparece en la lista de los Doce junto a Simón el Cananita.,Mateo usa este sobrenombre para distinguirlo de Judas Iscariote.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/10/
teocratico-sostenible-tamar,Tamar,,T,empieza,teocratico,relato-biblico-infantil,1,Mujer mencionada entre los antepasados humanos de Jesús.,Mujer que fue nuera de Judá y madre de gemelos.,Se disfrazó para conseguir la descendencia que se le había negado.,"Zérah sacó primero la mano, pero Pérez terminó naciendo antes.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/38/
teocratico-sostenible-tarso,Tarso,,T,empieza,teocratico,relato-biblico-infantil,1,Ciudad donde nació el apóstol Pablo.,Ciudad de Cilicia donde nació Pablo.,Era un importante centro comercial y educativo del mundo romano.,El apóstol afirmó ser ciudadano de esta localidad nada insignificante.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/22/
teocratico-sostenible-teofilo,Teófilo,,T,empieza,teocratico,relato-biblico-infantil,1,Hombre para quien Lucas escribió dos libros bíblicos.,Destinatario de los relatos escritos por Lucas.,Recibió una narración ordenada para confirmar lo que había aprendido.,Su nombre significa amado por Dios y encabeza también el libro de Hechos.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/1/
teocratico-sostenible-tiberiades,Tiberíades,,T,empieza,teocratico,relato-biblico-infantil,1,Ciudad situada junto al lago de Galilea.,Ciudad galilea que dio nombre a un lago.,Una multitud buscó allí a Jesús después de comer panes y peces.,Herodes Antipas la construyó en la costa occidental y honró al emperador con su nombre.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/6/
teocratico-sostenible-tiatira,Tiatira,,T,empieza,teocratico,relato-biblico-infantil,1,Ciudad de una congregación mencionada en Revelación.,Ciudad de Asia Menor donde vivía Lidia.,"Su congregación recibió un mensaje que elogió amor, fe y aguante.",Revelación censuró allí la tolerancia hacia una mujer simbolizada por Jezabel.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/apocalipsis/2/
teocratico-sostenible-tiquico,Tíquico,,T,empieza,teocratico,relato-biblico-infantil,1,Cristiano fiel que ayudó al apóstol Pablo.,Colaborador de Pablo que llevó cartas y noticias a congregaciones.,Fue descrito como hermano amado y ministro fiel.,Efesios dice que informaría sobre la situación del apóstol y consolaría corazones.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/efesios/6/
teocratico-sostenible-tiro,Tiro,,T,empieza,teocratico,relato-biblico-infantil,1,Antigua ciudad costera visitada por siervos de Dios.,Ciudad fenicia costera donde Pablo encontró discípulos.,Sus habitantes rogaron al apóstol que no subiera a Jerusalén.,"Tras siete días, familias enteras lo acompañaron hasta la playa para orar.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/21/
teocratico-sostenible-tito,Tito,,T,empieza,teocratico,relato-biblico-infantil,1,Cristiano que colaboró con Pablo y recibió una carta.,Cristiano griego encargado de organizar congregaciones en Creta.,Pablo lo llamó hijo verdadero en una fe compartida.,Debía nombrar ancianos y corregir asuntos defectuosos en cada ciudad.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/tito/1/
teocratico-sostenible-tomas,Tomás,,T,empieza,teocratico,relato-biblico-infantil,1,Apóstol que quiso pruebas de que Jesús había resucitado.,Apóstol que dudó hasta ver las heridas de Jesús resucitado.,No estaba presente cuando el Maestro apareció primero a los demás.,Al tocar las pruebas exclamó: Mi Señor y mi Dios.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/20/
teocratico-sostenible-tabita,Tabita,,T,empieza,teocratico,relato-biblico-infantil,1,Discípula generosa que volvió a vivir mediante Pedro.,Discípula de Jope conocida por ayudar a los necesitados.,Las viudas mostraron a Pedro las prendas que ella confeccionaba.,Su nombre arameo equivale al griego Dorcas y significa gacela.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/9/
teocratico-sostenible-tarsis,Tarsis,,T,empieza,teocratico,relato-biblico-infantil,1,Lugar lejano hacia donde Jonás intentó escapar en barco.,Destino al que Jonás quiso navegar para huir de su misión.,Un barco partía hacia allí desde el puerto de Jope.,Era un lugar lejano en dirección opuesta a Nínive.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/jonas/1/
teocratico-sostenible-tentacion,tentación,,T,empieza,teocratico,relato-biblico-infantil,1,Situación que busca convencer a alguien de hacer algo malo.,Presión o atractivo que invita a desobedecer a Dios.,El Diablo intentó ejercerla sobre Jesús en el desierto.,"Incluyó convertir piedras en pan, saltar del templo y aceptar reinos.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/4/
teocratico-sostenible-testigo,testigo,,T,empieza,teocratico,relato-biblico-infantil,1,Persona que ve un hecho y puede contar lo ocurrido.,Persona que vio un suceso y puede confirmarlo.,Jesús dijo que sus discípulos cumplirían esta función hasta la parte más lejana de la tierra.,Los apóstoles debían acreditar especialmente su resurrección.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/1/
teocratico-sostenible-tribu,tribu,,T,empieza,teocratico,relato-biblico-infantil,1,Gran familia en que se dividía el pueblo de Israel.,Gran grupo familiar que componía la nación de Israel.,Cada uno descendía de uno de los hijos de Jacob.,Números registró por separado a sus varones aptos para el ejército.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/numeros/1/
teocratico-sostenible-trigo,trigo,,T,empieza,teocratico,relato-biblico-infantil,1,Cereal usado para preparar harina y hacer pan.,Cereal cuyos granos se muelen para hacer harina.,Jesús lo contrastó con la mala hierba en una parábola.,El enemigo sembró cizaña entre esta planta mientras los hombres dormían.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/13/
teocratico-sostenible-trono,trono,,T,empieza,teocratico,relato-biblico-infantil,1,Asiento especial desde donde gobierna un rey.,Asiento elevado que representa la autoridad de un rey.,Salomón hizo uno magnífico de marfil revestido de oro.,"Tenía seis escalones, dos leones junto a los brazos y doce a los lados.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-reyes/10/
teocratico-sostenible-tributo,tributo,,T,empieza,teocratico,relato-biblico-infantil,1,Pago exigido por un gobernante o una autoridad.,Pago obligatorio entregado a un gobernante.,Los fariseos preguntaron a Jesús si era lícito pagarlo a César.,Una moneda con imagen e inscripción imperial sirvió para responderles.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/22/
teocratico-sostenible-tejado,tejado,,T,empieza,teocratico,relato-biblico-infantil,1,Parte superior de una casa que la protege del clima.,Cubierta superior de una casa.,Cuatro hombres abrieron una parte para bajar ante Jesús a un paralítico.,Las viviendas palestinas permitían acceder a esta superficie plana por una escalera exterior.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/marcos/2/
teocratico-sostenible-terremoto,terremoto,,T,empieza,teocratico,relato-biblico-infantil,1,Movimiento fuerte del suelo que puede sacudir edificios.,Sacudida repentina y fuerte de la tierra.,Una abrió las puertas de la prisión de Pablo y Silas.,Ocurrió a medianoche tras sus oraciones y soltó todas las cadenas.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/16/
teocratico-sostenible-agua,agua,,U,contiene,teocratico,relato-biblico-infantil,1,Líquido que Jesús convirtió en vino durante una boda.,Líquido que Jesús convirtió en vino en Caná.,Los sirvientes llenaron con él seis tinajas de piedra.,La señal produjo entre quinientos y setecientos litros de bebida excelente.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/2/
teocratico-sostenible-burra,burra,,U,contiene,teocratico,relato-biblico-infantil,1,Animal que habló cuando Balaam no vio al ángel.,Animal de Balaam que habló después de recibir un milagro.,Se apartó del camino porque veía al ángel de Jehová.,Aplastó el pie de su dueño contra una pared antes de echarse al suelo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/numeros/22/
teocratico-sostenible-ciudad,ciudad,,U,contiene,teocratico,relato-biblico-infantil,1,Lugar con muchas casas donde viven numerosas personas.,Población grande y organizada donde viven muchas personas.,Caín construyó una y le puso el nombre de su hijo.,La primera mencionada en la Biblia se llamó Enoc.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/4/
teocratico-sostenible-aguacero,aguacero,,U,contiene,teocratico,relato-biblico-infantil,1,Lluvia repentina y abundante como la que cae en tormentas.,Lluvia intensa que cae de manera repentina.,Elías la anunció después de tres años y medio de sequía.,Una nube pequeña como la palma de una mano precedió a esta precipitación.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-reyes/18/
teocratico-sostenible-fruta,fruta,,U,contiene,teocratico,relato-biblico-infantil,1,Alimento que Eva tomó del árbol prohibido.,Parte comestible que crece en ciertos árboles y plantas.,Eva tomó una del árbol que Dios había prohibido.,"Génesis no especifica su clase, aunque suele representarse erróneamente como manzana.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/3/
teocratico-sostenible-huerto,huerto,,U,contiene,teocratico,relato-biblico-infantil,1,Terreno pequeño donde se cultivan frutas y verduras.,Terreno donde se cultivan árboles y plantas.,Jehová preparó uno en Edén para la primera pareja humana.,"Tenía árboles agradables, alimento abundante y un río que se dividía en cuatro.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/2/
teocratico-sostenible-grupo,grupo,,U,contiene,teocratico,relato-biblico-infantil,1,Conjunto de personas reunidas para hacer algo juntas.,Conjunto de personas reunidas en un mismo lugar.,Jesús organizó a la multitud en conjuntos antes de repartir alimento.,Marcos menciona formaciones de cien y de cincuenta sentadas sobre la hierba.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/marcos/6/
teocratico-sostenible-unguento,ungüento,,U,contiene,teocratico,relato-biblico-infantil|sostenible,1,Preparación aromática que una mujer derramó sobre Jesús.,Sustancia aceitosa y perfumada usada para cuidar el cuerpo o mostrar honra.,"En Betania se empleó una muy costosa, guardada en un frasco de alabastro.",Jesús relacionó aquella generosa acción con la preparación anticipada de su entierro.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/marcos/14/#v3
teocratico-sostenible-mujer,mujer,,U,contiene,teocratico,relato-biblico-infantil,1,Primera compañera humana que Dios creó para Adán.,Primera compañera humana creada para Adán.,Jehová la formó de una costilla y la llevó ante el hombre.,Fue llamada así porque procedía del varón y llegó a ser madre de todos.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/2/
teocratico-sostenible-musica,música,,U,contiene,teocratico,relato-biblico-infantil,1,Sonidos ordenados que pueden cantarse o tocarse con instrumentos.,Sonidos combinados para cantar o tocar instrumentos.,David la producía con el arpa para aliviar a Saúl.,El rey se sentía mejor cuando el joven ejecutaba melodías con habilidad.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-samuel/16/
teocratico-sostenible-sulamita,sulamita,,U,contiene,teocratico,relato-biblico-infantil|sostenible,1,Joven mencionada en el cantar bíblico de Salomón.,Muchacha campesina fiel a su amado pastor pese a las atenciones reales.,La belleza y lealtad de esta doncella protagonizan el Cantar de los Cantares.,Su designación probablemente es la forma femenina del nombre Salomón.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/el-cantar-de-los-cantares/6/#v13
teocratico-sostenible-muro,muro,,U,contiene,teocratico,relato-biblico-infantil,1,Pared fuerte que rodeaba y protegía ciudades antiguas.,Pared alta y fuerte que protege una ciudad.,La que rodeaba Jericó cayó después de que Israel marchara siete días.,Sacerdotes tocaron cuernos y el pueblo gritó antes de su derrumbe.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/josue/6/
teocratico-sostenible-perfume,perfume,,U,contiene,teocratico,relato-biblico-infantil,1,Líquido aromático usado para dar un olor agradable.,Sustancia aromática que María derramó sobre los pies de Jesús.,Era nardo puro muy costoso y llenó la casa con su olor.,Judas calculó su precio en trescientos denarios y criticó aquel gesto.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/12/
teocratico-sostenible-sudario,sudario,,U,contiene,teocratico,relato-biblico-infantil|sostenible,1,Tela usada para cubrir el rostro de una persona muerta.,Paño funerario que estuvo alrededor de la cabeza de Jesús.,Pedro lo vio separado de las demás vendas dentro de la tumba vacía.,El detalle de que estuviera enrollado confirmó el orden dejado tras la resurrección.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/20/#v7
teocratico-sostenible-puerta,puerta,,U,contiene,teocratico,relato-biblico-infantil,1,Abertura por donde se entra o sale de una casa.,Abertura móvil por la que se entra o sale.,Lot cerró la de su casa para proteger a sus visitantes.,Los hombres de Sodoma intentaron romperla y luego quedaron cegados.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/19/
teocratico-sostenible-segundo,segundo,,U,contiene,teocratico,relato-biblico-infantil,1,Que ocupa el lugar número dos dentro de un orden.,Que ocupa el lugar número dos en una serie.,En este día creativo apareció la expansión entre las aguas.,Génesis dice que Dios llamó cielo a aquella extensión.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/1/
teocratico-sostenible-suelo,suelo,,U,contiene,teocratico,relato-biblico-infantil,1,Superficie de tierra sobre la que caminamos.,Parte exterior firme del terreno que sostiene nuestros pasos.,Moisés oyó que era santa junto a la zarza ardiente.,Debía quitarse el calzado porque estaba ante la presencia divina.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/exodo/3/
teocratico-sostenible-turno,turno,,U,contiene,teocratico,relato-biblico-infantil,1,Momento asignado para que alguien haga una tarea.,Momento asignado para realizar una tarea.,Zacarías entró al santuario cuando le correspondía servir como sacerdote.,La suerte determinó que ofreciera incienso durante su período de servicio.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/1/
teocratico-sostenible-lugar,lugar,,U,contiene,teocratico,relato-biblico-infantil,1,Espacio determinado donde ocurre o se encuentra algo.,Espacio determinado donde sucede o está algo.,Jacob durmió en uno y soñó con una escalera al cielo.,Al despertar lo llamó Betel porque lo consideró la casa de Dios.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/28/
teocratico-sostenible-pregunta,pregunta,,U,contiene,teocratico,relato-biblico-infantil,1,Frase que usamos cuando queremos conocer una respuesta.,Frase pronunciada para obtener información.,Jesús hizo muchas a los maestros cuando tenía doce años.,Quienes lo escuchaban quedaban asombrados por su comprensión y sus contestaciones.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/2/
teocratico-sostenible-aviso,aviso,,V,contiene,teocratico,relato-biblico-infantil,1,Mensaje que informa o advierte sobre algo importante.,Comunicación que alerta de un peligro o anuncia una decisión.,Jesús advirtió que sus discípulos debían huir al ver rodeada Jerusalén.,Quienes atendieron aquella advertencia pudieron abandonar Judea antes de su destrucción.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/21/#v20
teocratico-sostenible-caverna,caverna,,V,contiene,teocratico,relato-biblico-infantil,1,Hueco grande en una roca que puede servir de refugio.,Cavidad natural en una montaña o roca que ofrece refugio.,David se ocultó en una mientras Saúl lo perseguía.,"En En-Guedí, el fugitivo cortó el borde del manto real sin atacar a su enemigo.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-samuel/24/#v3
teocratico-sostenible-ciervo,ciervo,,V,contiene,teocratico,relato-biblico-infantil,1,Animal veloz con patas delgadas y cuernos ramificados.,Mamífero ágil que corre y salta con rapidez.,La Biblia compara sus patas firmes con la seguridad que Dios concede.,Habacuc lo menciona al describir cómo Jehová permite andar por lugares altos.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/habacuc/3/#v19
teocratico-sostenible-clavo,clavo,,V,contiene,teocratico,relato-biblico-infantil,1,Pieza de metal usada para sujetar algo a la madera.,Pieza puntiaguda que se introduce a golpes para fijar materiales.,Los ejecutores usaron objetos semejantes para sujetar a Jesús al madero.,Tomás quiso ver en las manos resucitadas las marcas dejadas por ellos.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/20/#v25
teocratico-sostenible-cuervo,cuervo,,V,contiene,teocratico,relato-biblico-infantil,1,Ave negra que Jehová usó para alimentar a Elías.,Ave de plumaje oscuro perteneciente a la familia de los córvidos.,Jehová hizo que varios llevaran pan y carne a Elías.,Lo alimentaron mañana y tarde junto al valle de Kerit durante la sequía.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/1-reyes/17/#v6
teocratico-sostenible-favor,favor,,V,contiene,teocratico,relato-biblico-infantil,1,Ayuda o acto amable que beneficia a otra persona.,Acto bondadoso realizado para beneficiar a alguien.,Rut pidió recibirlo de Boaz pese a ser extranjera.,El dueño del campo ordenó dejarle espigas adicionales y protegerla de molestias.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/rut/2/#v10
